"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.168087292E0,-4.965830339E0,1.578255891E0,2.963842517E-1,5.219023494E0
1.178044292E0,-4.101311318E0,8.807620007E-1,5.459244123E-1,4.230192631E0
1.188001292E0,-3.315589376E0,1.142959337E0,9.328557220E-1,3.629009335E0
1.197959292E0,-3.479494432E0,2.209023694E0,6.615346831E-1,4.174241886E0
1.207916292E0,-3.246917337E0,2.801805646E0,7.514821091E-1,4.353999590E0
1.217873292E0,-2.805843149E0,2.280683076E0,1.102249267E0,3.780109062E0
1.227830292E0,-2.203479949E0,1.567302886E0,1.188936870E0,2.953867483E0
1.237788292E0,-1.790060168E0,1.470295824E0,1.655752840E0,2.847385236E0
1.247745292E0,2.456473768E-1,1.122264286E0,1.871946915E0,2.196361768E0
1.257702292E0,2.937941106E0,7.772072268E-1,1.465337386E0,3.373835009E0
1.267659292E0,2.740379477E0,1.052062030E0,4.334190130E-1,2.967215232E0
1.277616292E0,1.967520824E0,1.591256590E0,-6.758919364E-1,2.619172701E0
1.287574292E0,1.140450296E0,1.871406632E0,-1.753050801E0,2.806417070E0
1.297531292E0,9.110663652E-2,1.656841300E0,-2.352374326E0,2.878730359E0
1.307488292E0,-9.372905427E-1,1.190940419E0,-2.075062522E0,2.569579170E0
1.317445292E0,-1.168465476E0,-5.228112459E-2,-2.315441850E-1,1.192332837E0
1.327403292E0,-2.203421477E0,-2.033901340E0,2.426239862E0,3.857260781E0
1.337360292E0,-7.539347237E-1,-2.393998607E0,6.653144403E0,7.110835207E0
1.347317292E0,2.375292780E0,-1.397958750E0,7.923377743E0,8.389053541E0
1.357274292E0,3.456910146E0,-1.282887885E0,4.912133018E0,6.142074558E0
1.367231292E0,1.828491578E0,-9.252850395E-1,-2.982596000E-1,2.070867606E0
1.377189292E0,1.441840934E0,4.913198966E-1,-1.641823457E0,2.239617107E0
1.387146292E0,2.946008509E-1,-5.663437665E-2,-9.088283435E-2,3.134594130E-1
1.397103292E0,-2.719744653E-1,-9.694034511E-1,9.382552602E-1,1.376239839E0
1.407060292E0,5.634663516E-1,-1.102267393E0,1.175815865E0,1.707346094E0
1.417018292E0,1.757352598E0,-1.308986932E0,1.616982000E0,2.723300521E0
1.426975292E0,2.481332036E0,-1.823163010E0,1.379049293E0,3.373827053E0
1.436932292E0,7.863364846E-1,-2.423556283E0,1.258141299E0,2.841631512E0
1.446889292E0,-3.203089532E0,-3.118208426E0,1.589503595E0,4.744420724E0
1.456846292E0,-4.768056455E0,-2.805984067E0,2.747469226E0,6.177094470E0
1.466804292E0,-3.317231274E0,-9.740525723E-1,4.264283159E0,5.489709701E0
1.476761292E0,-1.935383357E0,7.695245701E-1,5.169811041E0,5.573582601E0
1.486718292E0,-9.880367732E-1,2.353098503E0,6.654641290E0,7.127239292E0
1.496675292E0,-1.064037128E0,1.981842994E0,5.807234731E0,6.227668254E0
1.506633292E0,-1.013545836E0,1.731856983E0,4.392526631E0,4.829171148E0
1.516590292E0,-1.441928058E0,1.851137844E0,2.983108508E0,3.795366150E0
1.526547292E0,4.156206733E-1,2.062182568E0,-1.847217432E0,2.799562417E0
1.536504292E0,1.684233751E0,2.829367082E0,-8.766791239E0,9.364752535E0
1.546461292E0,4.318958133E-1,3.998313199E0,-1.038906380E1,1.114027329E1
1.556419292E0,-3.895075929E-1,4.214563115E0,-6.666529849E0,7.896637173E0
1.566376292E0,-7.938881636E-2,2.684528627E0,-3.794238356E0,4.648574108E0
1.576333292E0,1.275360764E0,5.105888110E-1,-2.524552315E0,2.874127764E0
1.586290292E0,1.791556470E0,-2.831175041E-1,1.909326410E-1,1.823810676E0
1.596248292E0,1.678950207E0,1.846802133E-1,2.387701156E0,2.924738858E0
1.606205292E0,2.598840605E0,2.465449244E-1,1.181783679E0,2.865548735E0
1.616162292E0,2.984470909E0,6.981575489E-4,-1.070056837E0,3.170502914E0
1.626119292E0,2.750663559E0,-4.187863559E-1,-3.794252390E-1,2.808112452E0
1.636076292E0,3.113908383E0,-1.806532944E0,8.889619897E-1,3.708131621E0
1.646034292E0,3.189297704E0,-2.641612403E0,8.226212351E-1,4.222137093E0
1.655991292E0,2.763119298E0,-3.262648686E0,7.072585939E-1,4.333580439E0
1.665948292E0,1.146693953E0,-2.818168495E0,1.025392587E-1,3.044256065E0
1.675905292E0,-1.196661919E-1,-2.426126719E0,-3.041875072E-1,2.448048384E0
1.685863292E0,5.507194215E-1,-2.148426660E0,4.284358697E-1,2.258890499E0
1.695820292E0,1.392417344E0,-1.485295687E0,1.912216689E0,2.793116897E0
1.705777292E0,1.292908258E0,-1.182406408E0,2.250428267E0,2.852038580E0
1.715734292E0,9.513010561E-2,-1.189448209E0,9.960316712E-1,1.554321675E0
1.725691292E0,-1.550426652E0,-6.983996236E-1,-6.780863965E-1,1.830679109E0
1.735649292E0,-2.769659409E0,8.348888397E-2,-1.248878432E0,3.039355355E0
1.745606292E0,-3.253521767E0,4.095483398E-1,-9.961440839E-1,3.427161619E0
1.755563292E0,-3.577577382E0,9.241518492E-1,-7.515733257E-1,3.770673551E0
1.765520292E0,-4.502827338E0,1.290722569E0,-3.793518564E-1,4.699502805E0
1.775478292E0,-5.355409268E0,1.490152969E0,-2.520398453E-1,5.564574411E0
1.785435292E0,-4.069667357E0,1.057931466E0,-1.886215290E-1,4.209155433E0
1.795392292E0,-1.839515333E0,-5.539769053E-2,4.744249517E-1,1.900516930E0
1.805349292E0,-1.270257899E0,7.352172017E-2,1.779377890E0,2.187497714E0
1.815307292E0,-1.547637531E0,-1.462499732E-1,2.796723247E0,3.199723722E0
1.825264292E0,-1.812917519E0,-1.049981591E0,3.213630307E0,3.836215716E0
1.835221292E0,-2.531202938E0,-7.556970745E-1,2.406402745E0,3.573351445E0
1.845178292E0,-2.601271293E0,-6.965086341E-1,1.063822974E0,2.895419820E0
1.855135292E0,-1.229891646E0,-6.348497450E-2,4.995350884E-1,1.328984239E0
1.865093292E0,-8.223184955E-1,1.493327422E0,-1.582209924E0,2.325859570E0
1.875050292E0,-1.197215651E0,2.548597820E0,-1.448235157E0,3.166395621E0
1.885007292E0,-1.191735055E0,4.444622399E0,2.477833647E-1,4.608285724E0
1.894964292E0,-2.575068165E0,4.979903417E0,-1.024395345E0,5.699105186E0
1.904922292E0,-2.973423765E0,3.703991261E0,-6.076397270E-1,4.788530691E0
1.914879292E0,-1.003284557E0,2.323402249E0,6.912628046E-1,2.623475210E0
1.924836292E0,3.733271778E-1,2.444295772E0,2.017415115E0,3.191225274E0
1.934793292E0,9.505409181E-1,2.922322024E0,2.027877538E0,3.681817670E0
1.944751292E0,1.555540043E0,3.119157429E0,2.340652120E-1,3.493370065E0
1.954708292E0,-3.010308001E0,6.467233350E0,-7.361349222E-1,7.171398475E0
1.964665292E0,-1.036959842E0,3.308421859E0,-3.461198202E0,4.899064595E0
1.974622292E0,1.022792623E1,-6.908046752E-1,2.612381002E0,1.057885724E1
1.984580292E0,6.123817019E0,5.993578477E0,6.040809946E0,1.048405945E1
1.994537292E0,7.517532445E0,1.242326919E0,5.191887789E0,9.220215239E0
2.004494292E0,7.113579891E0,1.774440501E0,5.768713274E0,9.328971583E0
2.014451292E0,2.815140222E0,1.834288507E0,3.125182692E0,4.588724840E0
2.024408292E0,1.001078403E0,9.415356213E-1,-7.679750580E-1,1.574303968E0
2.034366292E0,2.528090465E-1,8.107240516E-1,-1.006924449E0,1.317225398E0
2.044323292E0,-1.074556269E0,-1.359612125E-1,3.739589694E-1,1.145862966E0
2.054279792E0,3.646715444E-1,-9.163867468E-1,7.362366638E-1,1.230769853E0
2.064236792E0,2.930557827E0,-4.087531185E-1,7.228345531E-1,3.045937964E0
2.074194792E0,5.651908125E0,-6.804901868E-1,2.395629834E0,6.176258952E0
2.084151792E0,5.589258717E0,-2.558173220E0,3.701136650E0,7.175128970E0
2.094108792E0,2.191069819E0,-4.845284725E0,3.368736181E0,6.294914970E0
2.104065792E0,-1.338601325E0,-6.857766545E0,1.676508117E0,7.185505894E0
2.114022792E0,-4.562502267E0,-7.508658711E0,-2.265945900E0,9.073637275E0
2.123980792E0,-5.099863139E0,-6.829081274E0,-4.928069020E0,9.845345060E0
2.133937792E0,-5.278974465E0,-4.491056308E0,-4.125106855E0,8.065585206E0
2.143894792E0,-7.507586331E0,-1.069444048E-1,-2.532132061E0,7.923823723E0
2.153851792E0,-6.672536693E0,2.449046634E0,-1.753107519E0,7.320789665E0
2.163809792E0,-6.167243121E0,3.506579905E0,-6.161352197E-1,7.121138459E0
2.173766792E0,-6.537830293E0,2.741151309E0,-2.529400972E-1,7.093737670E0
2.183723792E0,-6.864599601E0,2.838420326E0,8.378878766E-1,7.475387196E0
2.193680792E0,-6.852567201E0,1.773778011E0,2.189067732E0,7.409182358E0
2.203638792E0,-6.432731854E0,-8.557710010E-1,2.149245855E0,6.836054480E0
2.213595792E0,-5.882756199E0,-4.308163004E0,2.186627104E0,7.612386423E0
2.223552792E0,-4.173546066E0,-1.066455653E1,7.203057493E0,1.352905355E1
2.233509792E0,-1.738083683E0,-2.153305927E1,1.199922561E1,2.471183910E1
2.243466792E0,-1.073464009E-1,-2.667147077E1,1.179926603E1,2.916507423E1
2.253424792E0,-5.066945654E-1,-1.887163358E1,7.134399487E0,2.018154973E1
2.263381792E0,-2.026405209E0,-7.623495687E0,1.384922383E0,8.008870992E0
2.273338792E0,-1.464444808E0,-4.331827855E-1,-3.742915006E0,4.042481745E0
2.283295792E0,-9.400290862E-1,3.143918048E0,-7.211282771E0,7.922781998E0
2.293253792E0,-6.806264269E-1,3.939768537E0,-8.537527760E0,9.427322458E0
2.303210792E0,1.343818796E-1,3.764944975E0,-4.772789776E0,6.080492694E0
2.313167792E0,1.556588741E-1,3.396290892E0,6.894586462E-1,3.469059633E0
2.323124792E0,4.101115729E-1,2.518793977E0,3.182848225E0,4.079587899E0
2.333082792E0,2.564167786E-1,3.142742173E0,2.070334610E0,3.772116558E0
2.343039792E0,5.315145341E-1,3.270320233E0,-7.222878385E-1,3.391047308E0
2.352996792E0,1.730613427E0,1.203588531E0,-7.668664259E-1,2.243152313E0
2.362953792E0,3.849487820E0,-6.086284912E-1,2.423926411E0,4.589597408E0
2.372911792E0,3.116556295E0,5.438384181E-1,2.124001086E0,3.810520171E0
2.382868792E0,1.933994498E0,1.244610257E0,5.612098380E-1,2.367349972E0
2.392825792E0,1.673881255E0,1.463669175E0,-4.216281758E-1,2.263178347E0
2.402782792E0,1.768482188E0,1.605857087E0,-1.573765668E-1,2.393966085E0
2.412739792E0,1.811087340E0,1.758580513E0,4.265725813E-1,2.560196661E0
2.422697792E0,1.520319047E0,1.573605600E0,5.471484904E-1,2.255432566E0
2.432654792E0,1.076400627E0,1.502485331E0,1.011185315E0,2.106797623E0
2.442611792E0,9.487436302E-1,1.402960458E0,1.390470221E0,2.191305538E0
2.452568792E0,7.600145124E-1,1.412697827E0,1.543471389E0,2.226126937E0
2.462526792E0,1.484032103E-1,1.879857613E0,1.831937926E0,2.629046353E0
2.472483792E0,-7.305199141E-1,2.026980575E0,2.337242024E0,3.178837818E0
2.482440792E0,-1.123413337E0,1.951643879E0,2.557476817E0,3.407588447E0
2.492397792E0,-1.294198739E0,1.153559754E0,3.154454731E0,3.599477063E0
2.502355792E0,-1.836719487E0,2.543872100E-1,3.380970018E0,3.856061409E0
2.512312792E0,-1.926453490E0,6.565434998E-1,3.145079890E0,3.746171369E0
2.522269792E0,-2.111770757E0,1.788964400E0,2.281189445E0,3.586613255E0
2.532226792E0,-2.095468281E0,1.825653924E0,2.011104215E0,3.430530532E0
2.542184792E0,-1.837926499E0,1.473644525E0,1.700075027E0,2.905143215E0
2.552141792E0,-1.981787153E0,1.119961653E0,1.193397419E0,2.570212408E0
2.562098792E0,-2.566670979E0,8.827021068E-1,8.660527450E-1,2.849036728E0
2.572055792E0,-2.736190239E0,-3.726149869E-1,1.502443231E0,3.143710326E0
2.582013792E0,-2.404452698E0,-1.508720217E0,2.185760547E0,3.582621755E0
2.591970792E0,-1.516057450E0,-2.672606739E0,3.942186946E0,4.998209168E0
2.601927792E0,-4.396648626E-1,-3.388049242E0,3.990251058E0,5.253026401E0
2.611884792E0,-4.363155775E-1,-2.098262812E0,4.814218469E0,5.269703746E0
2.621841792E0,1.562917621E0,-5.212868768E-1,5.203726062E0,5.458316262E0
2.631799792E0,2.308121574E0,-1.458092101E0,4.126758401E0,4.948089801E0
2.641756792E0,1.958568152E0,-2.206486003E0,3.960417979E0,4.938570670E0
2.651713792E0,1.708296359E0,-2.101087602E0,4.936817039E0,5.630720028E0
2.661670792E0,1.926834290E0,-9.975355750E-1,5.109815100E0,5.551394236E0
2.671628792E0,1.702728201E0,8.987673318E-1,4.866784937E0,5.233799927E0
2.681585792E0,1.888459890E0,1.914578379E0,4.905076599E0,5.593895563E0
2.691542792E0,2.494384190E0,2.045823228E0,4.612225235E0,5.628495961E0
2.701499792E0,3.114182325E0,1.957234402E0,3.645375262E0,5.178576915E0
2.711457792E0,3.422811524E0,1.745752307E0,2.753041037E0,4.726788000E0
2.721414792E0,3.218075653E0,1.570452197E0,1.513282215E0,3.887461135E0
2.731371792E0,2.436691322E0,1.640936288E0,4.939709876E-1,2.978950123E0
2.741328792E0,1.246689966E0,1.856241294E0,5.057151568E-1,2.292512907E0
2.751286792E0,6.292978138E-2,1.766537404E0,9.711570311E-1,2.016868993E0
2.761243792E0,-6.639294103E-1,9.172258222E-1,1.406200401E0,1.805409936E0
2.771200792E0,-1.644655264E0,-1.396344334E-1,2.090344512E0,2.663443052E0
2.781157792E0,-2.684693226E0,-9.197062111E-1,2.826215433E0,4.005113095E0
2.791115792E0,-3.616325710E0,-1.720851939E0,3.226211761E0,5.142721591E0
2.801072792E0,-3.573371480E0,-2.646087862E0,3.581431866E0,5.709414936E0
2.811029792E0,-2.939304677E0,-3.839134448E0,4.074688361E0,6.323096593E0
2.820986792E0,-2.548944852E0,-4.698860505E0,4.330328629E0,6.879546202E0
2.830943792E0,-2.524152658E0,-4.936964389E0,3.423467581E0,6.516524710E0
2.840901792E0,-1.579849257E0,-4.896166027E0,2.566290325E0,5.749279213E0
2.850858792E0,-1.562349710E-1,-5.170569425E0,1.643271081E0,5.427664083E0
2.860815792E0,6.656379667E-1,-4.203426508E0,2.752152845E-2,4.255893061E0
2.870772792E0,3.514889967E-1,-2.372641068E0,-1.397424753E0,2.775926168E0
2.880730792E0,-3.795179173E-1,-5.955424225E-1,-2.399706659E0,2.501458910E0
2.890687792E0,-1.028377591E0,1.013918889E-1,-2.758576012E0,2.945773650E0
2.900644792E0,-1.525736200E0,-3.221459144E-1,-2.257921035E0,2.744058371E0
2.910601792E0,-1.780359052E0,-1.205863098E0,-1.487120603E0,2.614442934E0
2.920559792E0,-2.334581541E0,-1.868232763E0,-9.017669535E-1,3.123099145E0
2.930516792E0,-2.694862411E0,-2.000448250E0,-6.672611538E-1,3.421887500E0
2.940473792E0,-2.238835139E0,-8.123776442E-1,-8.200833973E-1,2.518903927E0
2.950430792E0,-1.265362025E0,2.838963532E-1,-1.467377187E0,1.958298752E0
2.960388792E0,-1.176130006E0,7.121926206E-1,-1.791123923E0,2.258013513E0
2.970345792E0,-2.336148595E0,1.088083218E0,-1.088625401E0,2.797609803E0
2.980302792E0,-4.066601077E0,1.414822705E0,2.501088023E-2,4.305762783E0
2.990259792E0,-5.019812418E0,1.544331515E0,1.108875040E0,5.367781702E0
3.000217792E0,-4.875249951E0,1.370665117E0,1.860484326E0,5.395200356E0
3.010174792E0,-4.733147993E0,1.198114368E0,1.201913888E0,5.028196989E0
3.020131792E0,-5.232480329E0,1.383869884E0,-1.510639858E-1,5.414495967E0
3.030088792E0,-5.026063676E0,1.271175327E0,-6.581965077E-1,5.225937757E0
3.040046792E0,-4.573486261E0,6.008031625E-1,-1.360133989E0,4.809127311E0
3.050004167E0,-4.089280087E0,1.369043684E-1,-1.882153522E0,4.503715835E0
3.059961167E0,-3.502619001E0,-4.438270569E-2,-1.823801818E0,3.949248379E0
3.069918167E0,-2.812539965E0,-9.363497257E-2,-1.824993481E0,3.354064664E0
3.079876167E0,-1.468494882E0,-2.185806155E-1,-2.305358619E0,2.742067298E0
3.089833167E0,-7.915141940E-2,-3.450827873E-1,-2.768865357E0,2.791408684E0
3.099790167E0,1.123978105E0,-8.167098463E-2,-2.975213890E0,3.181492515E0
3.109747167E0,2.493087278E0,5.130341166E-1,-2.783766109E0,3.772007679E0
3.119705167E0,3.952972135E0,1.878085907E0,-1.511332461E0,4.630045484E0
3.129662167E0,5.813697073E0,2.946765724E0,1.392616149E0,6.664974241E0
3.139619167E0,6.192284406E0,3.681007610E0,3.819570249E0,8.153730439E0
3.149576167E0,4.374000313E0,3.990421797E0,5.941783841E0,8.388095139E0
3.159533167E0,1.571075510E0,2.772576585E0,7.502651866E0,8.151395230E0
3.169491167E0,-1.764071633E0,8.080056810E-1,7.786428351E0,8.024542877E0
3.179448167E0,-4.222431128E0,-2.663991451E-1,7.681118828E0,8.769234835E0
3.189405167E0,-4.388996667E0,6.722777724E-2,5.983684988E0,7.421071173E0
3.199362167E0,-3.180636224E0,-8.254105031E-2,2.871255366E0,4.285716648E0
3.209320167E0,-1.117599378E0,-6.751651275E-1,-4.362853181E-1,1.376670330E0
3.219277167E0,1.306705348E0,1.732296109E-1,-2.193867127E0,2.559402340E0
