"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.006847083E0,1.152159492E0,1.127133263E0,-1.328747013E0,2.088891934E0
1.016907083E0,7.781994992E-1,1.049369095E0,-1.682183132E0,2.129908460E0
1.026967083E0,3.082141192E-1,8.078972152E-1,-1.783004918E0,1.981615601E0
1.037027083E0,-3.631928567E-1,6.114614671E-1,-1.550224339E0,1.705576054E0
1.047087083E0,-8.866285852E-1,2.472503909E-1,-1.718349915E0,1.949351029E0
1.057147083E0,-1.030813029E0,-3.099392670E-1,-2.374231510E0,2.606839680E0
1.067207083E0,-9.885183645E-1,-7.108521464E-1,-3.219920742E0,3.442436479E0
1.077267083E0,-8.611997022E-1,-8.292597252E-1,-4.030882775E0,4.204444383E0
1.087327083E0,-6.155770299E-1,-5.768406880E-1,-4.395607529E0,4.475829064E0
1.097387083E0,-4.189638919E-1,-8.467908472E-2,-4.292957904E0,4.314184611E0
1.107447083E0,-4.081307555E-1,4.277562770E-1,-4.190901187E0,4.232398718E0
1.117507083E0,-6.520278414E-1,1.684632531E-1,-3.847157997E0,3.905655493E0
1.127567083E0,-5.822237078E-1,-5.069921887E-1,-2.878317048E0,2.980056133E0
1.137627083E0,-8.678091024E-1,-1.332103022E0,-1.940375125E0,2.508514845E0
1.147687083E0,-4.439235359E-2,-1.261153784E0,-1.693596312E0,2.112048299E0
1.157747083E0,8.024324074E-2,-1.053258955E-2,-2.634701579E0,2.635944294E0
1.167807083E0,-7.124256322E-1,9.168551087E-1,-3.931994664E0,4.099848242E0
1.177867083E0,-3.829326182E-1,6.308745155E-1,-3.302316197E0,3.383774860E0
1.187927083E0,1.346538482E-1,-1.134213656E-1,-2.625935433E0,2.631830725E0
1.197987083E0,3.394632476E-1,-2.720589575E-1,-2.641416521E0,2.677000674E0
1.208047083E0,3.920428725E-1,1.374054748E-1,-2.302739359E0,2.339911629E0
1.218107083E0,2.036349861E-1,3.807961187E-1,-1.874969341E0,1.924053773E0
1.228167083E0,-3.228130817E-1,-6.656704187E-2,-1.493412791E0,1.529353204E0
1.238227083E0,-5.810617930E-1,-9.111657679E-2,-1.244314973E0,1.376319290E0
1.248287083E0,-1.083119589E0,4.049793255E-1,-9.806727898E-1,1.516204280E0
1.258347083E0,-1.845335505E0,8.413207769E-1,-6.262169158E-1,2.122553039E0
1.268407083E0,-1.908863603E0,9.924821189E-1,-8.250345272E-1,2.304227199E0
1.278467083E0,-1.267294823E0,1.068653797E0,-1.008090384E0,1.940181262E0
1.288527083E0,-3.846718725E-1,1.070838317E0,-9.256446433E-1,1.466794177E0
1.298587083E0,2.034847127E-1,9.836627635E-1,-8.167887837E-1,1.294659174E0
1.308647083E0,5.158429728E-1,9.070905510E-1,-8.694014454E-1,1.358221673E0
1.318707083E0,7.563641687E-1,4.705222276E-1,-1.029781215E0,1.361589980E0
1.328766083E0,8.378278696E-1,6.730765021E-1,-4.251855487E-1,1.155755280E0
1.338827083E0,1.066466061E0,1.000027074E0,8.527076447E-1,1.692487618E0
1.348887083E0,1.175888370E0,8.625543559E-1,2.195774488E0,2.635932298E0
1.358946083E0,7.844997279E-1,6.535225359E-1,3.577856879E0,3.720697700E0
1.369006083E0,2.123325732E-1,2.021744978E-1,4.614602712E0,4.623907205E0
1.379066083E0,-3.168930683E-1,-1.380632865E-1,4.248810257E0,4.262847791E0
1.389126083E0,-5.506439924E-1,1.917261082E-1,3.097679436E0,3.152076394E0
1.399186083E0,-9.296093479E-2,1.006010822E0,1.252047331E0,1.608826289E0
1.409246083E0,4.119543229E-1,1.606078697E0,7.688457084E-1,1.827653925E0
1.419306083E0,1.480237260E-1,2.009127272E0,8.306320667E-1,2.179094548E0
1.429366083E0,-5.167687333E-1,2.419034338E0,1.183368275E0,2.742104580E0
1.439426083E0,-9.910163681E-1,2.273740970E0,1.648975625E0,2.978444569E0
1.449486083E0,-1.151104654E0,1.916621397E0,2.016853783E0,3.011009579E0
1.459546083E0,-8.595461096E-1,1.773990557E0,2.205983727E0,2.958416167E0
1.469606083E0,-5.923808330E-1,1.530632366E0,2.230212250E0,2.769042645E0
1.479666083E0,-4.028581750E-1,1.481872727E0,2.249610388E0,2.723782000E0
1.489726083E0,-3.214735577E-1,1.290611180E0,2.079570433E0,2.468529046E0
1.499786083E0,-2.458850661E-1,1.000170038E0,1.779349238E0,2.055938541E0
1.509846083E0,2.451775530E-1,9.512422916E-1,1.171384991E0,1.528763136E0
1.519906083E0,4.753515161E-1,1.607943374E-1,1.836394089E0,1.903721916E0
1.529966083E0,6.386058502E-2,-2.757321784E-1,2.178894162E0,2.197199621E0
1.540026083E0,-6.393392372E-1,-4.696556702E-1,2.672624280E0,2.787875832E0
1.550086083E0,-1.513457339E0,-7.375528720E-1,2.873618225E0,3.330498320E0
1.560146083E0,-1.993592535E0,-8.179295754E-1,1.992372660E0,2.934785989E0
1.570206083E0,-1.729799933E0,-6.510082331E-1,1.395697632E0,2.316029233E0
1.580266083E0,-1.261258450E0,-6.701868081E-1,1.577301040E0,2.127863202E0
1.590326083E0,-9.107441106E-1,-8.537697914E-1,1.485650028E0,1.940498312E0
1.600386083E0,-5.854199421E-1,-8.275342119E-1,1.302829229E0,1.650725108E0
1.610446083E0,-3.541709684E-1,-6.954274839E-1,1.090179445E0,1.340726550E0
