"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.647221958E0,-1.156036927E0,1.517636286E1,1.496731086E1,2.134663452E1
1.657179958E0,-2.212159849E0,1.400565907E1,1.266536731E1,1.901219783E1
1.667136958E0,-2.089978477E0,1.319389830E1,1.007820827E1,1.673371580E1
1.677094958E0,-1.441483669E0,1.318626886E1,7.413863651E0,1.519608291E1
1.687052958E0,-8.268363467E-1,1.313918708E1,4.940345834E0,1.406161130E1
1.697010958E0,-2.173985643E-1,1.249307442E1,3.191413519E0,1.289609596E1
1.706968958E0,4.904030532E-1,1.140035729E1,2.266798863E0,1.163387375E1
1.716925958E0,1.655523045E0,9.876403320E0,1.728446887E0,1.016226489E1
1.726883958E0,3.079131776E0,7.239623641E0,1.608974238E0,8.030068558E0
1.736841958E0,4.002386954E0,3.994109636E0,2.056806930E0,6.016848666E0
1.746799958E0,3.858846581E0,7.463783669E-1,2.802518130E0,4.827202655E0
1.756756958E0,3.229327450E0,-2.381906565E0,3.490907612E0,5.318690687E0
1.766714958E0,2.876162934E0,-4.926763337E0,3.822145070E0,6.866884529E0
1.776672958E0,3.072146107E0,-6.284177493E0,3.700974390E0,7.913670445E0
1.786630958E0,3.428668387E0,-6.558900150E0,3.037615083E0,8.000127716E0
1.796588958E0,3.568948646E0,-6.527349744E0,1.728549213E0,7.637510818E0
1.806545958E0,3.474458518E0,-6.750320449E0,1.700016555E-1,7.593917877E0
1.816503958E0,3.321780408E0,-6.747447127E0,-1.145664551E0,7.607549873E0
1.826461958E0,3.289530675E0,-6.700098129E0,-1.874279369E0,7.695794316E0
1.836419958E0,3.039072501E0,-7.023475467E0,-2.052368893E0,7.923218246E0
1.846377958E0,2.494927104E0,-7.416885492E0,-1.968243540E0,8.069004541E0
1.856334958E0,1.830445717E0,-7.794268298E0,-1.706407270E0,8.186145344E0
1.866292958E0,1.158610213E0,-8.214045757E0,-1.382896907E0,8.409835265E0
1.876250958E0,6.968993743E-1,-8.509112631E0,-1.274274352E0,8.632174791E0
1.886208958E0,4.357505172E-1,-8.599981871E0,-1.352314800E0,8.716554480E0
1.896165958E0,3.588271062E-1,-8.593334756E0,-1.443681638E0,8.721145326E0
1.906123958E0,2.289349381E-1,-8.630031297E0,-1.383891811E0,8.743283590E0
1.916081958E0,6.706690572E-2,-8.784967893E0,-1.217516306E0,8.869188509E0
1.926039958E0,-3.974498659E-2,-8.980911598E0,-1.146371187E0,9.053867665E0
1.935996958E0,-2.262991595E-1,-9.131003777E0,-1.021046937E0,9.190700633E0
1.945954958E0,-7.091010515E-1,-9.266375590E0,-6.756510311E-1,9.317995771E0
1.955912958E0,-1.202359154E0,-9.402015790E0,-4.553279454E-1,9.489514845E0
1.965870958E0,-1.403029163E0,-9.426486973E0,-6.032604548E-1,9.549401586E0
1.975828958E0,-1.612523059E0,-9.232458816E0,-9.862054253E-1,9.423965595E0
1.985785958E0,-1.816756362E0,-9.107025515E0,-1.283380805E0,9.374731127E0
1.995743958E0,-1.864232098E0,-9.074385188E0,-1.454965594E0,9.377459823E0
2.005701958E0,-1.794330389E0,-8.916282324E0,-1.540891890E0,9.224644158E0
2.015659958E0,-1.842761415E0,-8.468686152E0,-1.746638452E0,8.841106302E0
2.025616958E0,-2.225534770E0,-7.900929113E0,-1.937933913E0,8.434054405E0
2.035574958E0,-2.887232005E0,-7.378424261E0,-1.448609379E0,8.054546689E0
2.045532958E0,-3.687825463E0,-6.673645325E0,-5.269075128E-1,7.642985680E0
2.055490958E0,-4.228235659E0,-5.755151827E0,1.354174215E-1,7.142694675E0
2.065448958E0,-4.401390718E0,-4.576550787E0,4.478987655E-1,6.365349218E0
2.075405958E0,-4.094782610E0,-2.923411945E0,1.223979526E0,5.178002308E0
2.085363958E0,-3.535253188E0,-6.100271451E-1,2.552759283E0,4.403036246E0
2.095321958E0,-3.012605957E0,2.565238411E0,3.689503614E0,5.410053574E0
2.105279958E0,-2.441750333E0,6.169680825E0,4.361322965E0,7.940292449E0
2.115236958E0,-1.801441042E0,9.897771385E0,4.878176191E0,1.118068295E1
2.125194958E0,-1.675977775E0,1.282400110E1,5.555008652E0,1.407558265E1
2.135153625E0,-1.658996291E0,1.389784693E1,7.318003228E0,1.579416314E1
2.145111625E0,-1.758939824E0,1.405813900E1,1.049414177E1,1.763099977E1
2.155069625E0,-2.841303296E0,1.463513639E1,1.320853271E1,1.991797073E1
2.165026625E0,-3.907601835E0,1.482554980E1,1.342224728E1,2.037702139E1
2.174984625E0,-4.286613383E0,1.450219293E1,1.081401137E1,1.859116714E1
2.184942625E0,-3.922380087E0,1.413706705E1,7.042636793E0,1.627391973E1
2.194900625E0,-3.575463029E0,1.421124834E1,2.949681730E0,1.494804795E1
2.204857625E0,-2.877579714E0,1.444201221E1,3.371884614E-1,1.472976163E1
2.214815625E0,-1.418633628E0,1.391336311E1,3.803233713E-2,1.398555114E1
2.224773625E0,-5.067444860E-1,1.271965169E1,5.034560850E-1,1.273969376E1
2.234731625E0,-7.043839565E-1,1.106954054E1,1.432946734E0,1.118410572E1
2.244689625E0,-1.087141743E0,7.990415486E0,2.406102636E0,8.415339964E0
2.254646625E0,-1.804806846E0,4.299749445E0,3.577914181E0,5.877639231E0
2.264604625E0,-1.856351221E0,1.414795223E0,5.326696515E0,5.815615285E0
2.274562625E0,2.211416960E-3,-1.020883507E0,6.311050712E0,6.393087604E0
