"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.184656125E0,-4.904594788E0,6.242983859E0,3.166834456E0,8.547440434E0
1.194613125E0,-5.471083565E0,7.128813057E0,1.132990419E0,9.057394673E0
1.204570125E0,-4.828297979E0,8.162484425E0,-1.675205065E0,9.630416677E0
1.214527125E0,-4.769816467E0,1.040312986E1,-2.858492648E0,1.179606885E1
1.224485125E0,-3.709002324E0,1.065328076E1,-3.564174979E0,1.183014930E1
1.234442125E0,-3.127471585E0,9.097160093E0,-1.189612589E0,9.693016990E0
1.244399125E0,-3.996532722E0,9.798002098E0,3.895344901E-1,1.058890249E1
1.254356125E0,-3.961102688E0,8.858464471E0,-1.957337313E0,9.899186666E0
1.264313125E0,-3.724586908E0,6.320301007E0,-2.017791091E0,7.608563159E0
1.274270125E0,-1.585785935E0,7.539779931E0,-2.195577583E-1,7.707866375E0
1.284227125E0,-4.745963336E0,8.049016866E0,2.387192448E0,9.644144767E0
1.294185125E0,-9.926123364E0,9.625259560E-1,-1.154531561E0,1.003928904E1
1.304142125E0,-6.353511438E0,4.729524474E0,5.357560458E0,9.562372268E0
1.314099125E0,-6.021710601E0,5.863845134E0,1.463138248E0,8.531497632E0
1.324056125E0,-5.898494564E0,2.352091028E0,7.209008789E-1,6.390952074E0
1.334013125E0,-5.162987925E0,2.094745127E0,-4.694187995E0,7.285588679E0
1.343970125E0,-1.427847261E1,6.830868183E0,-1.965034471E1,2.523235200E1
1.353927125E0,-1.388982222E1,3.792919225E-1,-2.146168816E1,2.556707027E1
1.363885125E0,-1.083664477E-1,-7.021126056E0,-7.357379547E0,1.017049597E1
1.373842125E0,8.172822887E0,-5.880003914E0,2.463108019E0,1.036515225E1
1.383799125E0,7.963872051E0,-8.577282395E0,5.070743421E0,1.275560544E1
1.393756125E0,1.087401199E1,-1.347937107E1,4.059472736E0,1.778811119E1
1.403713125E0,1.113607133E1,-1.343296756E1,2.879025146E0,1.768461161E1
1.413670125E0,8.908966287E0,-9.831371573E0,1.022647612E0,1.330681613E1
1.423627125E0,7.703544654E0,-8.151396350E0,-1.350609167E0,1.129663701E1
1.433585125E0,2.278959902E0,-3.314475482E0,-3.414306749E0,5.276068283E0
1.443542125E0,1.571177251E0,-7.232472496E0,-1.835060340E0,7.625267393E0
1.453499125E0,1.733285458E0,-6.978700413E0,4.508187188E-1,7.204843888E0
1.463456125E0,3.795389673E0,-3.095365693E0,1.972928914E0,5.280030307E0
1.473413125E0,3.173458182E0,-1.478187811E0,2.848785101E0,4.513474558E0
1.483370125E0,-3.650555896E0,-1.903998427E0,5.019652789E0,6.492201667E0
1.493327125E0,-8.890714788E-1,2.380543579E0,7.354291048E0,7.780940345E0
1.503285125E0,9.162089914E-1,5.885183378E0,-8.488889743E-1,6.016264189E0
1.513242125E0,-1.412044108E-1,5.845849743E0,6.457407689E-1,5.883101142E0
1.523199250E0,-1.665719712E-1,6.529022048E0,1.081257178E0,6.620044728E0
1.533156250E0,2.392263739E0,6.460490341E0,-4.039787208E-1,6.901018769E0
1.543113250E0,2.210279092E0,5.359174290E0,1.394424547E0,5.962424217E0
1.553070250E0,1.582777542E0,5.344486084E0,1.869166418E0,5.878987953E0
1.563027250E0,-1.388304412E-1,5.658318427E0,1.031335405E0,5.753215973E0
1.572985250E0,-2.407199281E-1,3.490568474E0,2.323674583E0,4.200175940E0
1.582942250E0,-4.262129045E-1,4.007212077E0,2.768692864E0,4.889280749E0
1.592899250E0,-2.368526967E0,4.887245514E0,-9.185671735E-1,5.508071746E0
1.602856250E0,-3.809623550E0,5.843745330E0,-1.304631633E0,7.096805956E0
1.612813250E0,-5.456509380E0,4.605263540E0,-2.110697501E0,7.445602113E0
1.622770250E0,-5.209461011E0,3.279876922E0,-2.200298187E0,6.537383938E0
1.632727250E0,-5.819355424E0,2.375550642E0,-1.352133244E0,6.429339213E0
1.642685250E0,-6.585261737E0,2.061109604E0,-1.036300861E0,6.977661816E0
1.652642250E0,-6.322562710E0,1.720767739E0,-8.593962747E-1,6.608661195E0
1.662599250E0,-5.718786823E0,1.738688870E0,-1.592697051E0,6.185810021E0
1.672556250E0,-3.737639648E0,1.778133017E0,-6.157894592E0,7.419661244E0
1.682513250E0,-2.372287311E0,1.353640949E0,-8.475494649E0,8.904723491E0
1.692470250E0,-4.073264564E0,-3.680689521E0,-1.410838704E0,5.668282404E0
1.702427250E0,-2.105758358E0,-8.942035800E0,2.848891520E0,9.618232967E0
1.712385250E0,1.465657813E0,-8.421669275E0,-8.861306217E-1,8.594061536E0
1.722342250E0,1.527823071E0,-7.484586893E0,-1.368814766E0,7.760601662E0
1.732299250E0,3.104970329E0,-8.916254257E0,-3.687192795E-1,9.448618133E0
1.742256250E0,3.374703557E0,-1.079728365E1,-6.787228659E-1,1.133272355E1
1.752213250E0,2.308974829E0,-1.067239297E1,-1.317688466E0,1.099852897E1
1.762170250E0,1.355868153E0,-1.050902995E1,-1.656048417E-2,1.059614851E1
1.772127250E0,2.326156873E-1,-1.044038481E1,1.136787016E0,1.050466705E1
1.782085250E0,-4.435124767E-1,-9.872530124E0,1.217936721E0,9.957254854E0
1.792042250E0,1.001183653E-1,-8.308163710E0,3.517649853E-1,8.316209865E0
1.801999250E0,-4.628082883E-1,-6.990291349E0,-9.111800936E-1,7.064602877E0
1.811956250E0,5.963434911E-1,-5.056137076E0,-4.049182221E-1,5.107260171E0
1.821913250E0,2.754746670E0,-2.661167831E0,2.789545497E0,4.738354938E0
1.831870250E0,5.586322246E0,-2.052622370E0,7.176973064E0,9.323582851E0
1.841827250E0,9.453065491E0,-1.990041960E0,8.639989105E0,1.296032893E1
1.851785250E0,8.601393389E0,-4.205317497E-1,6.376685708E0,1.071554645E1
1.861742250E0,5.714113728E0,7.805167508E-1,3.401548416E0,6.695583151E0
1.871699250E0,3.522840719E0,1.857646964E0,5.425017446E-2,3.982989086E0
1.881656250E0,1.697315142E0,3.252195033E0,-2.041883081E0,4.198444682E0
1.891613250E0,-9.819167849E-1,4.147711313E0,-2.622774720E0,5.004659523E0
1.901570250E0,-2.063047371E0,4.744399790E0,-2.050273251E0,5.564990047E0
1.911527250E0,-1.434952329E0,5.397265976E0,-1.090828778E0,5.690296620E0
1.921484250E0,-7.869206214E-1,6.489160994E0,-5.776265538E-1,6.562172422E0
1.931442250E0,-5.354964879E-1,6.645310888E0,-1.104750998E-1,6.667767095E0
1.941399250E0,-2.370461226E-3,8.053955424E0,-2.064300429E0,8.314297316E0
1.951356250E0,3.916577895E0,7.000882410E0,-1.568758989E0,8.173918381E0
1.961313250E0,6.296016351E0,4.800641234E0,1.848452510E0,8.130360068E0
1.971270250E0,2.047722988E0,3.907461501E0,-2.029605975E0,4.855998892E0
